,source_test,target_text
4221,-5.78079,0.00308
2230,-7.77189,0.00042
7810,-2.19161,0.10051
7961,-2.0406,0.11501
6613,-3.38867,0.03265
1244,-8.75794,0.00016
14526,4.52473,0.98928
6200,-3.80169,0.02185
6378,-3.62368,0.02599
11279,1.27756,0.78203
11335,1.33357,0.79143
14746,4.74474,0.99138
18381,8.37992,0.99977
2219,-7.78289,0.00042
3363,-6.63883,0.00131
12256,2.25461,0.90505
5174,-4.82774,0.00794
5891,-4.11071,0.01613
3359,-6.64283,0.0013
17902,7.9009,0.99963
2827,-7.17486,0.00077
6686,-3.31567,0.03504
10814,0.81254,0.69265
5201,-4.80074,0.00816
19446,9.44497,0.99992
7615,-2.38662,0.0842
8790,-1.21156,0.22943
5251,-4.75074,0.00857
19735,9.73399,0.99994
14845,4.84374,0.99218
15127,5.12576,0.99409
6760,-3.24166,0.03763
10625,0.62353,0.65102
730,-9.27196,9e-05
14546,4.54473,0.98949
11185,1.18356,0.76559
8074,-1.9276,0.12702
9545,-0.45652,0.38781
12407,2.40562,0.91725
15208,5.20676,0.99455
3992,-6.0098,0.00245
5651,-4.35072,0.01273
2102,-7.89989,0.00037
19269,9.26796,0.99991
3679,-6.32282,0.00179
4380,-5.62178,0.00361
11271,1.26956,0.78067
10845,0.84354,0.69921
6229,-3.77269,0.02247
12892,2.89064,0.94738
15981,5.9798,0.99748
2324,-7.67788,0.00046
469,-9.53298,7e-05
12204,2.20261,0.90048
9646,-0.35552,0.41205
18800,8.79894,0.99985
16449,6.44782,0.99842
19427,9.42597,0.99992
8182,-1.81959,0.13948
7223,-2.77864,0.05849
17787,7.78589,0.99958
586,-9.41597,8e-05
4298,-5.70379,0.00332
7452,-2.54963,0.07245
10967,0.96555,0.72423
15590,5.58878,0.99627
122,-9.87999,5e-05
17055,7.05385,0.99914
17744,7.74289,0.99957
7158,-2.84364,0.05501
19131,9.12996,0.99989
4086,-5.9158,0.00269
15377,5.37577,0.99539
11771,1.76959,0.85441
16770,6.76884,0.99885
19997,9.996,0.99995
11078,1.07655,0.74584
19638,9.63698,0.99993
19123,9.12196,0.99989
18041,8.0399,0.99968
17021,7.01985,0.99911
18833,8.83194,0.99985
14286,4.28471,0.98641
4303,-5.69878,0.00334
15751,5.74979,0.99683
3068,-6.93385,0.00097
8661,-1.34057,0.20742
12152,2.15061,0.89573
97,-9.905,5e-05
17120,7.11886,0.99919
1890,-8.11191,0.0003
9836,-0.16551,0.45872
4315,-5.68678,0.00338
7379,-2.62263,0.0677
9855,-0.14651,0.46344
8351,-1.65058,0.16103
17167,7.16586,0.99923
14203,4.20171,0.98525
6971,-3.03065,0.04606
19477,9.47597,0.99992
18283,8.28191,0.99975
16558,6.55683,0.99858
11205,1.20356,0.76916
13646,3.64468,0.97454
14295,4.29371,0.98653
15247,5.24576,0.99476
18006,8.0049,0.99967
16827,6.82584,0.99892
4150,-5.85179,0.00287
665,-9.33697,9e-05
15958,5.9568,0.99742
14623,4.62173,0.99026
12650,2.64863,0.93393
12914,2.91265,0.94847
17379,7.37787,0.99938
2371,-7.63088,0.00048
9850,-0.15151,0.4622
8487,-1.51458,0.18026
7912,-2.0896,0.11011
10346,0.34452,0.58529
2851,-7.15086,0.00078
12404,2.40262,0.91703
402,-9.59998,7e-05
16974,6.97285,0.99906
7077,-2.92465,0.05095
8711,-1.29056,0.21576
10826,0.82454,0.6952
8862,-1.13956,0.2424
2418,-7.58388,0.00051
14016,4.0147,0.98227
12197,2.19561,0.89985
7043,-2.95865,0.04933
13681,3.67968,0.97539
6593,-3.40867,0.03203
7317,-2.68463,0.06389
13512,3.51068,0.97099
9794,-0.20751,0.44831
1641,-8.36092,0.00023
8127,-1.87459,0.13301
1265,-8.73694,0.00016
4021,-5.9808,0.00252
13667,3.66568,0.97505
10786,0.78454,0.68666
1709,-8.29291,0.00025
5682,-4.31972,0.01313
15894,5.89279,0.99725
19576,9.57498,0.99993
7576,-2.42562,0.08124
1242,-8.75994,0.00016
16717,6.71584,0.99879
10222,0.22051,0.55491
12055,2.0536,0.88631
17906,7.9049,0.99963
1691,-8.31092,0.00025
9357,-0.64453,0.34422
10081,0.0795,0.51987
14413,4.41172,0.98801
14923,4.92175,0.99277
14769,4.76774,0.99157
10348,0.34652,0.58577
16061,6.0598,0.99767
9668,-0.33352,0.41739
16102,6.10081,0.99776
14461,4.45972,0.98857
7798,-2.20361,0.09943
6879,-3.12266,0.04218
2872,-7.12986,0.0008
5914,-4.0877,0.0165
13670,3.66868,0.97512
5131,-4.87074,0.00761
10902,0.90055,0.71106
11793,1.79159,0.85712
4329,-5.67278,0.00343
15973,5.9718,0.99746
11200,1.19856,0.76827
13434,3.43267,0.96871
10288,0.28651,0.57114
9383,-0.61853,0.35012
14280,4.27871,0.98633
2924,-7.07785,0.00084
12286,2.28461,0.90759
19127,9.12596,0.99989
15272,5.27076,0.99489
9740,-0.26151,0.43499
16263,6.26181,0.9981
17468,7.46687,0.99943
420,-9.58198,7e-05
11188,1.18656,0.76613
12155,2.15361,0.89601
18901,8.89994,0.99986
6834,-3.16766,0.0404
11302,1.30057,0.78593
16120,6.11881,0.9978
3622,-6.37982,0.00169
3095,-6.90685,0.001
4025,-5.9768,0.00253
4255,-5.74679,0.00318
17417,7.41587,0.9994
17318,7.31687,0.99934
1898,-8.10391,0.0003
11373,1.37157,0.79763
13154,3.15266,0.95901
825,-9.17696,0.0001
4761,-5.24076,0.00527
9490,-0.51153,0.37484
13470,3.46867,0.96978
9122,-0.87954,0.29327
5532,-4.46972,0.01132
18466,8.46492,0.99979
2074,-7.9279,0.00036
4309,-5.69278,0.00336
15418,5.41677,0.99558
15971,5.9698,0.99745
15558,5.55678,0.99615
5405,-4.59673,0.00998
15883,5.88179,0.99722
8337,-1.66458,0.15915
3184,-6.81784,0.00109
4070,-5.9318,0.00265
3972,-6.0298,0.0024
2229,-7.77289,0.00042
7250,-2.75164,0.05999
12490,2.48862,0.92334
3753,-6.24881,0.00193
11325,1.32357,0.78977
15686,5.68478,0.99661
14358,4.35672,0.98734
4114,-5.88779,0.00277
18836,8.83494,0.99985
11077,1.07555,0.74565
15000,4.99875,0.9933
14412,4.41072,0.988
5231,-4.77074,0.0084
3333,-6.66883,0.00127
19965,9.964,0.99995
261,-9.74099,6e-05
19288,9.28696,0.99991
19014,9.01295,0.99988
9453,-0.54853,0.36621
3240,-6.76184,0.00116
3434,-6.56783,0.0014
8678,-1.32357,0.21023
15533,5.53178,0.99606
2813,-7.18886,0.00075
3279,-6.72284,0.0012
11194,1.19256,0.7672
18773,8.77194,0.99985
2839,-7.16286,0.00077
826,-9.17596,0.0001
17118,7.11686,0.99919
18322,8.32092,0.99976
17870,7.86889,0.99962
776,-9.22596,0.0001
14406,4.40472,0.98793
9120,-0.88154,0.29286
15157,5.15576,0.99427
16511,6.50983,0.99851
4283,-5.71879,0.00327
295,-9.70699,6e-05
11281,1.27956,0.78238
9845,-0.15651,0.46095
14249,4.24771,0.9859
3085,-6.91685,0.00099
17142,7.14086,0.99921
11244,1.24256,0.77601
17179,7.17786,0.99924
6912,-3.08965,0.04354
2913,-7.08885,0.00083
9791,-0.21051,0.44757
9367,-0.63453,0.34648
17441,7.43987,0.99941
1005,-8.99695,0.00012
2914,-7.08785,0.00083
10599,0.59753,0.64509
2781,-7.22086,0.00073
15817,5.81579,0.99703
4185,-5.81679,0.00297
11522,1.52058,0.82062
13049,3.04765,0.95468
16107,6.10581,0.99778
2801,-7.20086,0.00075
6595,-3.40667,0.03209
8628,-1.37357,0.20204
14531,4.52973,0.98933
11560,1.55858,0.82615
18327,8.32592,0.99976
3497,-6.50483,0.00149
17296,7.29486,0.99932
12097,2.0956,0.89048
4146,-5.85579,0.00286
9991,-0.0105,0.49737
13519,3.51768,0.97119
2381,-7.62088,0.00049
12663,2.66163,0.93472
6520,-3.48167,0.02984
1393,-8.60893,0.00018
1695,-8.30692,0.00025
10494,0.49252,0.6207
5587,-4.41472,0.01195
627,-9.37497,8e-05
18597,8.59593,0.99982
1773,-8.22891,0.00027
11,-9.991,5e-05
14696,4.69473,0.99094
10015,0.0135,0.50338
16433,6.43182,0.99839
15214,5.21276,0.99458
17780,7.77889,0.99958
18570,8.56893,0.99981
6830,-3.17166,0.04025
6180,-3.82169,0.02142
16068,6.0668,0.99769
1402,-8.59993,0.00018
1565,-8.43692,0.00022
4703,-5.29876,0.00497
3638,-6.36382,0.00172
7389,-2.61263,0.06833
17489,7.48787,0.99944
10078,0.0765,0.51912
10503,0.50153,0.62282
7977,-2.0246,0.11664
3438,-6.56383,0.00141
5943,-4.0587,0.01698
8239,-1.76259,0.14647
7927,-2.0746,0.11159
10491,0.48952,0.61999
16825,6.82384,0.99891
4706,-5.29576,0.00499
11370,1.36857,0.79715
5699,-4.30272,0.01335
8284,-1.71759,0.15218
2752,-7.24986,0.00071
3949,-6.0528,0.00235
14089,4.0877,0.9835
14111,4.10971,0.98385
19606,9.60498,0.99993
6003,-3.9987,0.01801
12711,2.70964,0.93759
8546,-1.45557,0.18915
8431,-1.57058,0.17213
9900,-0.10151,0.47465
18915,8.91395,0.99987
801,-9.20096,0.0001
17826,7.82489,0.9996
534,-9.46797,8e-05
605,-9.39697,8e-05
8806,-1.19556,0.23227
3692,-6.30982,0.00182
12728,2.72664,0.93858
6174,-3.82769,0.0213
2613,-7.38887,0.00062
4253,-5.74879,0.00318
7275,-2.72664,0.06142
12278,2.27661,0.90692
19578,9.57698,0.99993
447,-9.55498,7e-05
3190,-6.81184,0.0011
10097,0.0955,0.52386
17763,7.76189,0.99957
17822,7.82089,0.9996
10705,0.70354,0.66897
7553,-2.44862,0.07954
16058,6.0568,0.99766
7838,-2.16361,0.10307
10787,0.78554,0.68687
5415,-4.58673,0.01008
3366,-6.63583,0.00131
7265,-2.73664,0.06085
8866,-1.13556,0.24314
10762,0.76054,0.68147
19507,9.50598,0.99993
14812,4.81074,0.99192
8435,-1.56658,0.1727
15095,5.09375,0.9939
12298,2.29661,0.9086
16372,6.37082,0.99829
9491,-0.51053,0.37507
17839,7.83789,0.99961
17648,7.64688,0.99952
18623,8.62193,0.99982
10349,0.34752,0.58602
5272,-4.72974,0.00875
7092,-2.90965,0.05168
11604,1.60258,0.83238
8582,-1.41957,0.19473
3158,-6.84384,0.00106
18383,8.38192,0.99977
15003,5.00175,0.99332
18520,8.51893,0.9998
7349,-2.65263,0.06583
9650,-0.35152,0.41301
1639,-8.36292,0.00023
11018,1.01655,0.7343
7610,-2.39162,0.08381
18792,8.79094,0.99985
17876,7.87489,0.99962
1599,-8.40292,0.00022
639,-9.36297,9e-05
5960,-4.0417,0.01726
19548,9.54698,0.99993
2693,-7.30887,0.00067
11584,1.58258,0.82957
15468,5.46677,0.99579
2828,-7.17386,0.00077
6070,-3.9317,0.01923
12307,2.30562,0.90934
3896,-6.10581,0.00222
7002,-2.99965,0.04744
5796,-4.20571,0.01469
4194,-5.80779,0.003
16637,6.63583,0.99869
15479,5.47777,0.99584
5771,-4.23071,0.01433
10229,0.22751,0.55663
2013,-7.9889,0.00034
1332,-8.66993,0.00017
6618,-3.38367,0.03281
19770,9.76899,0.99994
5791,-4.21071,0.01462
17037,7.03585,0.99912
4239,-5.76279,0.00313
1191,-8.81094,0.00015
17535,7.53388,0.99947
17073,7.07185,0.99915
3989,-6.0128,0.00244
2308,-7.69388,0.00046
1678,-8.32392,0.00024
1177,-8.82494,0.00015
4269,-5.73279,0.00323
12395,2.39362,0.91634
1995,-8.0069,0.00033
15502,5.50078,0.99593
17710,7.70889,0.99955
8129,-1.87259,0.13324
7039,-2.96265,0.04914
3585,-6.41682,0.00163
15921,5.9198,0.99732
855,-9.14696,0.00011
8077,-1.9246,0.12735
3847,-6.15481,0.00212
8197,-1.80459,0.14129
11525,1.52358,0.82106
2026,-7.9759,0.00034
15054,5.05275,0.99365
5306,-4.69573,0.00905
13628,3.62668,0.97409
18152,8.15091,0.99971
8310,-1.69158,0.15557
14938,4.93675,0.99287
9540,-0.46152,0.38662
9707,-0.29451,0.4269
5761,-4.24071,0.01419
9053,-0.94855,0.27918
10754,0.75254,0.67973
19249,9.24796,0.9999
4940,-5.06175,0.00629
14245,4.24371,0.98585
16923,6.92185,0.99901
5644,-4.35772,0.01265
3315,-6.68683,0.00125
10356,0.35452,0.58771
16237,6.23581,0.99805
6357,-3.64468,0.02546
4497,-5.50478,0.00405
10630,0.62853,0.65216
18280,8.27891,0.99975
15409,5.40777,0.99554
11884,1.88259,0.86791
17462,7.46087,0.99943
1754,-8.24791,0.00026
18064,8.0629,0.99969
4095,-5.9068,0.00271
7975,-2.0266,0.11644
14690,4.68873,0.99089
10151,0.14951,0.53731
5265,-4.73674,0.00869
16950,6.94885,0.99904
11463,1.46157,0.81177
4991,-5.01075,0.00662
13371,3.36967,0.96674
18810,8.80894,0.99985
6195,-3.80669,0.02174
70,-9.932,5e-05
6931,-3.07065,0.04433
17925,7.9239,0.99964
7126,-2.87564,0.05337
12576,2.57463,0.92921
4555,-5.44677,0.00429
18755,8.75394,0.99984
9477,-0.52453,0.37179
1392,-8.60993,0.00018
16467,6.46582,0.99845
8884,-1.11756,0.24646
6684,-3.31767,0.03497
13163,3.16166,0.95937
6611,-3.39067,0.03259
9313,-0.68853,0.33436
19095,9.09395,0.99989
293,-9.70899,6e-05
18038,8.0369,0.99968
10157,0.15551,0.5388
8539,-1.46257,0.18807
19551,9.54998,0.99993
19371,9.36997,0.99991
11933,1.9316,0.87343
16370,6.36882,0.99829
18085,8.0839,0.99969
13787,3.78569,0.97781
17579,7.57788,0.99949
610,-9.39197,8e-05
10932,0.93055,0.71719
1783,-8.21891,0.00027
19169,9.16796,0.9999
13841,3.83969,0.97895
8841,-1.16056,0.23857
2192,-7.80989,0.00041
17886,7.88489,0.99962
12638,2.63663,0.93318
7796,-2.20561,0.09925
11866,1.86459,0.86583
16595,6.59383,0.99863
8019,-1.9826,0.12104
12953,2.95165,0.95034
15521,5.51978,0.99601
18641,8.63993,0.99982
9316,-0.68553,0.33503
8829,-1.17256,0.23639
7069,-2.93265,0.05056
9549,-0.45252,0.38876
18732,8.73094,0.99984
10499,0.49752,0.62188
18589,8.58793,0.99981
538,-9.46397,8e-05
15254,5.25276,0.99479
9065,-0.93655,0.2816
13666,3.66468,0.97503
9497,-0.50453,0.37648
3003,-6.99885,0.00091
11957,1.9556,0.87606
9605,-0.39652,0.40215
7529,-2.47262,0.0778
15275,5.27376,0.9949
11415,1.41357,0.80433
8510,-1.49157,0.18369
8736,-1.26556,0.22002
4445,-5.55678,0.00385
6011,-3.9907,0.01815
3910,-6.0918,0.00226
11427,1.42557,0.80621
4759,-5.24276,0.00526
16441,6.43982,0.99841
19702,9.70099,0.99994
13899,3.89769,0.98011
6864,-3.13766,0.04158
11272,1.27056,0.78084
7637,-2.36462,0.08591
15454,5.45277,0.99573
19713,9.71199,0.99994
15758,5.75679,0.99685
17331,7.32987,0.99934
11392,1.39057,0.80068
5070,-4.93175,0.00716
14395,4.39372,0.9878
12143,2.14161,0.89488
8959,-1.04255,0.26066
448,-9.55398,7e-05
2670,-7.33187,0.00065
7989,-2.0126,0.11789
15232,5.23076,0.99468
3518,-6.48382,0.00153
1872,-8.12991,0.00029
6481,-3.52068,0.02873
17412,7.41087,0.9994
6805,-3.19666,0.03929
7702,-2.29961,0.09115
10466,0.46452,0.61409
13753,3.75169,0.97706
1033,-8.96895,0.00013
